ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1775361600000,2026-04-05T04:00:00+00:00,294.94,295.08,294.54,294.79,1987.28,585958.1427,293.68580412904544,293.5123994525259,289.74801401686375,288.2986817134369,288.51157443917356,59.949016109679526,1.5892288183667662,32.37939394808701,17.74899977363594,37.941308790491576
1775376000000,2026-04-05T08:00:00+00:00,294.79,294.88,294.33,294.43,1633.23,481130.4556,293.7566799262792,293.5958176841145,289.9316213103201,288.4200939567352,288.57046424574895,58.13554450479611,1.5149981884834265,31.539757551780472,18.27884718344673,37.1325288578664
1775390400000,2026-04-05T12:00:00+00:00,294.43,294.86,293.94,294.67,722.56,212627.8353,293.84366279044315,293.69347062192224,290.11744008246444,288.5438544724434,288.6311561438012,59.02543481518596,1.4724983178774684,30.13220916007528,19.354931875792865,36.03577213585437
1775404800000,2026-04-05T16:00:00+00:00,294.67,294.77,294.04,294.69,166.11,48899.52,293.9242663342105,293.7840642017475,290.29675615766195,288.6655603244742,288.69144314734547,59.103450358494435,1.4194627237433608,29.02532593492869,18.64394353426907,35.017355179700346
1775419200000,2026-04-05T20:00:00+00:00,294.69,294.85,293.5,294.54,397.86,117023.2382,293.98290763571424,293.85278563795225,290.4631578769693,288.7818858626034,288.74963774289427,58.20829663791964,1.4145011006188366,27.04662778196904,20.099816573489406,33.56858259207437
1775433600000,2026-04-06T00:00:00+00:00,294.54,297.0,294.17,295.35,3958.71,1169486.4792,294.11310690850337,293.98889603450203,290.65479874453916,288.91194752869046,288.81531298923363,61.591231330380786,1.5156081648603472,33.57196887639856,17.419021863870736,33.433543915263684
1775448000000,2026-04-06T04:00:00+00:00,295.35,296.85,295.34,296.85,1637.87,484575.0551,294.3737633934078,294.2489963950018,290.89774781338076,289.0691366865382,288.8952601236692,66.929868295814,1.5152075816560402,31.18221272223527,16.179082232925996,33.30815085822518
1775462400000,2026-04-06T08:00:00+00:00,296.85,299.09,296.26,296.44,2529.3,753156.026,294.57054783213084,294.4481785409107,291.1150910363854,289.2150943759136,288.97033216223963,64.2991024414873,1.6091213258234647,37.20832043249659,14.146615285886305,34.136604498849174
1775476800000,2026-04-06T12:00:00+00:00,296.44,298.6,295.1,297.76,4887.23,1450911.2372,294.87430518145175,294.7492532190097,291.37567570162525,289.3843004278757,289.05779154370987,68.58093986227512,1.7441840882646458,31.875121849439264,16.86941300901397,33.89716077106168
1775491200000,2026-04-06T16:00:00+00:00,297.76,300.69,297.63,300.1,926.84,277650.315,295.3719904022659,295.2356847445543,291.71780606626737,289.5964924986108,289.16766426466796,74.43463001114716,1.8381709391028855,36.20637328024286,14.863521379402453,34.46103891007618
1775505600000,2026-04-06T20:00:00+00:00,300.1,300.85,298.83,299.43,1464.03,438527.2181,295.758467506812,295.616986131413,292.0202450440608,289.79121541943044,289.26977705805433,70.39077200303456,1.851158729166968,34.001697245025504,13.70500711196673,35.03844565193764
1775520000000,2026-04-07T00:00:00+00:00,299.43,299.74,297.46,298.23,2341.95,698659.3284,295.9938515537823,295.8545328467391,292.2637648462545,289.9583200645902,289.35893350523787,63.714273917042235,1.8817902485121867,31.059063617289045,17.71913992543776,34.489136977451984
1775534400000,2026-04-07T04:00:00+00:00,298.23,299.29,297.95,299.03,1588.29,474389.1139,296.2830085486602,296.14321167885373,292.52910740130335,290.13795729103396,289.4551630225987,66.0276787925331,1.8430909450470327,29.446123085476277,16.798960253353524,33.979064636858155
1775548800000,2026-04-07T08:00:00+00:00,299.03,304.89,298.86,299.87,4161.14,1254588.4754,296.62462678212114,296.48201061713974,292.8169855424287,290.33067100804317,289.5587932412793,68.31213477033512,2.1421558775436713,42.19829225045203,13.421263867149108,35.24763481880789
1775563200000,2026-04-07T12:00:00+00:00,299.87,303.26,297.55,301.48,7261.27,2180483.4688,297.087043279062,296.93637328830886,293.1567115995884,290.5514497999631,289.6774122140029,72.17433197047777,2.39700188629055,35.01812480496266,15.041281166661971,35.58039475011828
1775577600000,2026-04-07T16:00:00+00:00,301.48,305.43,301.38,305.31,2303.73,698059.9507,297.87018201438946,297.69761208028075,293.6333111447026,290.8436983187757,289.832960351177,78.7954125232676,2.51507318012694,37.15315482924973,13.311221063261533,36.41358641271485
1775592000000,2026-04-07T20:00:00+00:00,305.31,315.83,304.94,314.55,3684.81,1143370.7323,299.45873610825714,299.2296473457098,294.45357345275346,291.3131300352356,290.0789010442001,86.89632875481739,3.1132822386893007,51.73129582080097,9.985397193027532,38.64412872109749
1775606400000,2026-04-08T00:00:00+00:00,314.55,315.96,313.8,315.2,1351.29,425958.6535,300.95790409794694,300.6814975870089,295.26715880754745,291.7861373612705,290.3288622278399,87.2649093135981,3.045190650211491,49.41524099593261,9.479483338916033,40.72731368364971
1775620800000,2026-04-08T04:00:00+00:00,315.2,317.58,315.18,316.72,1961.55,620900.4269,302.45905608861864,302.1395432609172,296.10844669744756,292.2798772155028,290.5914606136326,88.10733850562389,2.999105603767812,50.4489639821464,8.937637034928027,42.811088158053444
1775635200000,2026-04-08T08:00:00+00:00,316.72,319.28,316.72,318.35,1099.44,350076.3393,303.97247931827405,303.61322114628837,296.9806644740183,292.79611727064133,290.8676649856362,88.95138777260163,2.967740917784393,51.432171010594644,8.386945172876535,44.893080430935136
1775649600000,2026-04-08T12:00:00+00:00,318.35,322.22,314.96,318.31,7485.63,2378518.3189,305.33795747843845,304.94929195117123,297.817109004449,293.30134267122264,291.1407230454806,88.78486074600018,3.2743308522283683,49.700136389953215,7.058664575731331,47.05268228412714
1775664000000,2026-04-08T16:00:00+00:00,318.31,319.79,316.08,317.31,2405.03,765293.6826,306.4781520043015,306.07299268288295,298.58153610231375,293.77676162822814,291.4011138609485,84.52456605099269,3.305450077069202,45.71564537170874,6.49276702200777,49.05802686209113
1775678400000,2026-04-08T20:00:00+00:00,317.31,317.78,316.62,316.83,672.35,213215.8453,307.4640422896061,307.0509024389845,299.29716213751715,294.2332613979662,291.65413760362566,82.47874019536584,3.152203642992828,44.51398831259384,6.322101612786348,50.92013254162913
1775692800000,2026-04-09T00:00:00+00:00,316.83,317.13,314.58,315.55,639.78,201864.09,308.23413350011975,307.8235476718041,299.93452832820276,294.65537503365005,291.891907378714,77.11834476404265,3.1091890970647698,41.90626496063242,10.638308347589772,51.53351520446368
1775707200000,2026-04-09T04:00:00+00:00,315.55,316.41,314.76,315.7,823.38,259976.3504,308.94516840487023,308.5395887925491,300.55278211925366,295.07210028050844,292.1288038227069,77.30449374245411,3.0049613044172885,40.26266554096124,10.221064829399653,52.10308481995292
1775721600000,2026-04-09T08:00:00+00:00,315.7,316.33,314.89,315.91,427.46,134853.0968,309.60848569964446,309.20962617504466,301.1550259577143,295.4847319581221,292.3654326403914,77.57949290390204,2.8931783541017677,38.83126303669297,9.857689538754608,52.631970891478645
1775736000000,2026-04-09T12:00:00+00:00,315.91,317.8,311.08,317.62,9010.32,2826669.5332,310.3714870615831,309.97420561367693,301.80071121427454,295.92305409756517,292.61672186785023,79.73298276149957,3.1665227573802146,32.944993558865676,16.957778961223884,51.16088198482591
