Time Berlin,Update Berlin,Exchange,Symbol,Status,Trade Side,Order Side,Position Side,Order Type,Source,Qty,Order Qty,Limit Price,Avg Price,Quote Volume,Leverage,Margin Mode,TP,SL,Planned Risk $,Planned Reward $,Planned R:R,Risk/Unit,Reward/Unit,Notional $,Est Margin $,Fill Ratio,Entry Slip/Unit $,Entry Slip $,Entry Slip bps,Fee,Realized PnL,Net PnL Est,Order ID,Client OID,Notes
2026-05-19 15:36:02,2026-05-19 15:36:02,Bitget Futures,ARMUSDT,filled,close,buy,long,market,sys,2.48,2.48,,217.93,540.4874,3,isolated,,,,,,,,540.4874,180.1625,1.0,,,,-0.2270047,24.1514,23.9243953,1440625319286042625,1440623901697634304,
2026-05-19 08:00:00,2026-05-19 15:30:24,Bitget Futures,ARMUSDT,filled,open,buy,long,limit,api,2.48,2.48,208.2,208.2,516.336,3,isolated,218.5,198.1,25.048,25.544,1.0198,10.1,10.3,516.336,172.112,1.0,,,,0,0,0.0,1440510554052128769,tvflow_arm_20260519_long3x_L1,
2026-05-18 18:25:53,2026-05-18 18:25:53,Bitget Futures,MRVLUSDT,filled,close,buy,long,market,android,16.75,16.75,,167.22,2801.0697,4,isolated,,,,,,,,2801.0697,700.2674,1.0,,,,-1.17644927,-63.56388778,-64.74033705,1440305675203407873,1440273352015958016,
2026-05-18 18:25:53,2026-05-18 18:25:53,Bitget Futures,MRVLUSDT,filled,close,buy,long,market,sys,10.76,10.76,,167.23,1799.4316,4,isolated,,,,,,,,1799.4316,449.8579,1.0,,,,-0.75576127,-40.77481221,-41.53057348,1440305674746228737,1440276398586458112,
2026-05-18 16:10:51,2026-05-18 16:10:52,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,android,8.06,8.06,,406.55,3276.793,8,isolated,,,,,,,,3276.793,409.5991,1.0,,,,-1.37625306,100.13155536,98.7553023,1440271696131682305,1440271696131682306,
2026-05-18 16:06:59,2026-05-18 16:06:59,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,android,3.5,3.5,,406.48,1422.713,8,isolated,,,,,,,,1422.713,177.8391,1.0,,,,-0.59753946,43.26944463,42.67190517,1440270721648062465,1439051754550337536,
2026-05-18 11:13:46,2026-05-18 17:29:10,Bitget Futures,AAPLUSDT,filled,open,buy,long,limit,api,10.94,10.94,296,296,3238.24,10,isolated,303.46,292.8,35.008,81.6124,2.3313,3.2,7.46,3238.24,323.824,1.0,,,,0,0,0.0,1440196928879620099,tvflow_aapl_20260518_optb10x_L2,
2026-05-18 11:13:38,2026-05-18 16:04:45,Bitget Futures,AAPLUSDT,filled,open,buy,long,limit,api,5.48,5.48,297.36,297.36,1629.5328,10,isolated,301.72,292.8,24.9888,23.8928,0.9561,4.56,4.36,1629.5328,162.9533,1.0,,,,0,0,0.0,1440196897959211009,tvflow_aapl_20260518_optb10x_L1,
2026-05-18 09:14:35,2026-05-18 15:57:34,Bitget Futures,MRVLUSDT,filled,open,buy,long,limit,android,8.16,8.16,172.5,172.5,1407.6,4,isolated,182.8,167.3,42.432,84.048,1.9808,5.2,10.3,1407.6,351.9,1.0,,,,0,0,0.0,1440166939132063750,1440166939132063751,
2026-05-18 09:07:20,2026-05-18 16:29:33,Bitget Futures,MRVLUSDT,filled,open,buy,long,limit,api,19.35,19.35,170.4,170.4,3297.24,4,isolated,191.8,167.3,59.985,414.09,6.9032,3.1,21.4,3297.24,824.31,1.0,,,,0,0,0.0,1440165114412691457,tvflow_mrvl_20260518_optb4x_B2,
2026-05-15 22:19:06,2026-05-15 22:19:06,Bitget Futures,GOOGLUSDT,filled,close,buy,long,market,android,11.56,11.56,,396.41,4582.6028,8,isolated,,,,,,,,4582.6028,572.8253,1.0,,,,-1.92469317,26.49779999,24.57310682,1439277205526573059,1439277205526573060,
2026-05-15 19:23:34,2026-05-15 19:23:34,Bitget Futures,AAPLUSDT,filled,close,buy,long,market,sys,15.79,15.79,,302.88,4782.5752,6,isolated,,,,,,,,4782.5752,797.0959,1.0,,,,-2.00868158,123.60120255,121.59252097,1439233031091679233,1439145126346616832,
2026-05-15 16:55:02,2026-05-15 16:55:02,Bitget Futures,AAPLUSDT,filled,close,buy,long,market,sys,7.69,7.69,,301.1,2315.5253,6,isolated,,,,,,,,2315.5253,385.9209,1.0,,,,-0.97252062,46.52529744,45.55277682,1439195648619081729,1438862335448981504,
2026-05-15 15:47:16,2026-05-15 15:47:16,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,7.69,7.69,,224.53,1726.6357,4,isolated,,,,,,,,1726.6357,431.6589,1.0,,,,-0.72518699,-30.81395576,-31.53914275,1439178597527613446,1439110449808285696,
2026-05-15 15:47:16,2026-05-15 15:47:16,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,13.11,13.11,,224.53,2943.5883,4,isolated,,,,,,,,2943.5883,735.8971,1.0,,,,-1.23630708,-52.5319844,-53.76829148,1439178597527613443,1439174686291259393,
2026-05-15 15:47:16,2026-05-15 15:47:16,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,4.27,4.27,,224.53,958.7431,4,isolated,,,,,,,,958.7431,239.6858,1.0,,,,-0.4026721,-17.10995983,-17.51263193,1439178597515030529,1439060801177526273,
2026-05-15 01:07:47,2026-05-15 07:23:15,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,android,6.9,6.9,395.6,395.6,2729.64,8,isolated,406.6,389.8,40.02,75.9,1.8966,5.8,11.0,2729.64,341.205,1.0,,,,0,0,0.0,1438957266336903174,1438957266336903175,
2026-05-15 01:06:30,2026-05-15 07:57:32,Bitget Futures,GOOGLUSDT,filled,open,buy,long,limit,android,16.22,16.22,393.5,393.5,6382.57,8,isolated,408.8,389.8,60.014,248.166,4.1351,3.7,15.3,6382.57,797.8212,1.0,,,,0,0,0.0,1438956943417438213,1438956943417438214,
2026-05-15 00:52:28,2026-05-15 01:06:30,Bitget Futures,GOOGLUSDT,canceled,open,buy,long,limit,android,0,21.42,393.5,,0,8,isolated,408.8,390.7,,,,,,,,,,,,0,0,0.0,1438953410366435329,1438953410370629632,
2026-05-15 00:51:05,2026-05-15 01:07:47,Bitget Futures,GOOGLUSDT,canceled,open,buy,long,limit,android,0,8.16,395.6,,0,8,isolated,406.6,390.7,,,,,,,,,,,,0,0,0.0,1438953065221353473,1438953065233936384,
2026-05-15 00:13:41,2026-05-15 15:31:44,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,13.11,13.11,227.6,227.6,2983.836,4,isolated,242,224.55,39.9855,188.784,4.7213,3.05,14.4,2983.836,745.959,1.0,,,,0,0,0.0,1438943650292330497,tvflow_nvda_20260515_repl4x_L3,
2026-05-15 00:13:40,2026-05-15 11:16:40,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,7.69,7.69,229.1,229.1,1761.779,4,isolated,239.8,224.55,34.9895,82.283,2.3516,4.55,10.7,1761.779,440.4447,1.0,,,,0,0,0.0,1438943649151479809,tvflow_nvda_20260515_repl4x_L2,
2026-05-15 00:13:40,2026-05-15 07:59:12,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,4.27,4.27,230.4,230.4,983.808,4,isolated,236.36,224.55,24.9795,25.4492,1.0188,5.85,5.96,983.808,245.952,1.0,,,,0,0,0.0,1438943648014823427,tvflow_nvda_20260515_repl4x_L1,
2026-05-14 02:50:52,2026-05-14 02:50:52,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,3.77,3.77,,229.1,863.707,4,isolated,,,,,,,,863.707,215.9267,1.0,,,,-0.36275694,25.259,24.89624306,1438620821730521090,1438454128540889088,
2026-05-13 23:06:13,2026-05-15 13:34:16,Bitget Futures,AAPLUSDT,filled,open,buy,long,limit,android,15.79,15.79,294.6,294.6,4651.734,6,isolated,303,290.8,60.002,132.636,2.2105,3.8,8.4,4651.734,775.289,1.0,,,,0,0,0.0,1438564283473096705,1438564283477291008,
2026-05-13 23:04:46,2026-05-14 18:50:34,Bitget Futures,AAPLUSDT,filled,open,buy,long,limit,android,7.69,7.69,296,296,2276.24,6,isolated,301.17,290.8,39.988,39.7573,0.9942,5.2,5.17,2276.24,379.3733,1.0,,,,0,0,0.0,1438563920737103873,1438563920745492480,
2026-05-13 14:07:07,2026-05-13 15:48:30,Bitget Futures,NVDAUSDT,filled,open,buy,long,limit,api,3.77,3.77,222.4,222.4,838.448,4,isolated,229.1,215.77,24.9951,25.259,1.0106,6.63,6.7,838.448,209.612,1.0,,,,0,0,0.0,1438428616051027970,tvflow_nvda_20260513_stag4x_L1,
2026-05-13 13:02:28,2026-05-13 13:02:28,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,android,10.4,10.4,,225.36,2343.8062,6,isolated,,,,,,,,2343.8062,390.6344,1.0,,,,-0.9843986,77.49131275,76.50691415,1438412344496123906,1438376588925161472,
2026-05-13 05:30:04,2026-05-13 05:30:04,Bitget Futures,NVDAUSDT,filled,close,buy,long,market,sys,8.17,8.17,,224.78,1836.4526,6,isolated,,,,,,,,1836.4526,306.0754,1.0,,,,-0.77131009,56.08792415,55.31661406,1438298496363556865,1437906666830950400,
